Manga series,Author(s),Publisher,Demographic,No. of collected volumes,Serialized,Approximate sales in million(s),Average sales per volume in million(s)
One Piece,Eiichiro Oda,Shueisha,Shōnen,104,1997–present,516.6,4.97
Golgo 13,"Takao Saito, Saito Production",Shogakukan,Seinen,207,1968–present,300,1.45
Case Closed / Detective Conan,Gosho Aoyama,Shogakukan,Shōnen,102,1994–present,270,2.65
Dragon Ball,Akira Toriyama,Shueisha,Shōnen,42,1984–1995,260,6.19
Doraemon,Fujiko F. Fujio,Shogakukan,Children,45,1969–1996,250,4.71
Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999–2014,250,3.47
Slam Dunk,Takehiko Inoue,Shueisha,Shōnen,31,1990–1996,170,5.48
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,Shōnen,201,1976–2016,156.5,0.78
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shōnen,23,2016–2020,150,6.52
Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,Seinen,111,1983–2014 (on hiatus),135,1.22
Bleach,Tite Kubo,Shueisha,Shōnen,74,2001–2016,130,1.75
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,Shōnen/Seinen,131,1987–present,120,0.92
Attack on Titan,Hajime Isayama,Kodansha,Shōnen,34,2009–2021,110,3.23
Astro Boy,Osamu Tezuka,Kobunsha,Shōnen,23,1952–1968,100,4.35
Fist of the North Star,"Buronson, Tetsuo Hara",Shueisha,Shōnen,27,1983–1988,100,3.7
Hajime no Ippo,George Morikawa,Kodansha,Shōnen,134,1989–present,100,0.74
The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,Shōnen/Seinen,90,1992–present,100,1.11
Touch,Mitsuru Adachi,Shogakukan,Shōnen,26,1981–1986,100,3.85
Kingdom,Yasuhisa Hara,Shueisha,Seinen,68,2006–present,97,1.42
Captain Tsubasa,Yōichi Takahashi,Shueisha,Shōnen/Seinen,108,1981–present,90,0.83
Sazae-san,Machiko Hasegawa,Kodansha,—,45,1946–1974,86,1.91
Baki the Grappler,Keisuke Itagaki,Akita Shoten,Shōnen,143,1991–present,85,0.59
My Hero Academia,Kōhei Horikoshi,Shueisha,Shōnen,37,2014–present,85,2.29
Hunter × Hunter,Yoshihiro Togashi,Shueisha,Shōnen,37,1998–present (on hiatus),84,2.33
Vagabond,Takehiko Inoue,Kodansha,Seinen,37,1998–2015 (on hiatus),82,2.21
Fullmetal Alchemist,Hiromu Arakawa,"Enix (2001–2003), Square Enix (2003–2010)",Shōnen,27,2001–2010,80,2.96
Sangokushi,Mitsuteru Yokoyama,Ushio Shuppansha,Shōnen,60,1971–1986,80,1.33
YuYu Hakusho,Yoshihiro Togashi,Shueisha,Shōnen,19,1990–1994,78,4.1
Kinnikuman,Yudetamago,Shueisha,Shōnen/Seinen,80,"1979–1987, 2011–present",77,0.96
Fairy Tail,Hiro Mashima,Kodansha,Shōnen,63,2006–2017,72,1.14
Rurouni Kenshin,Nobuhiro Watsuki,Shueisha,Shōnen,28,1994–1999,72,2.57
Jujutsu Kaisen,Gege Akutami,Shueisha,Shōnen,22,2018–present,70,3.18
Tokyo Revengers,Ken Wakui,Kodansha,Shōnen,31,2017–2022,70,2.26
Boys Over Flowers,Yoko Kamio,Shueisha,Shōjo,37,1992–2003,61,1.64
Major,Takuya Mitsuda,Shogakukan,Shōnen,101,1994–present,60.5,0.59
The Prince of Tennis,Takeshi Konomi,Shueisha,Shōnen,42,1999–2008,60,1.42
Rokudenashi Blues,Masanori Morita,Shueisha,Shōnen,42,1988–1997,60,1.42
